思丽卡鲜花（科技园）,福田区上沙科技园15栋1楼105室,0755-25326149/13632794653,https://p0.meituan.net/440.0/poi/39ca5b28b53eb08088bcf025ae6c95fa100352.jpg
极客修（华强北店）,福田区振华路华强广场A座12楼12H（地铁2号线、7号线华强北站A口旁）,400-811-2112,https://p0.meituan.net/440.0/joymerchant/b7d60045c2fd732c60df37b353aa5394--917458443.jpg
小胜上门电脑维修,福田区泰然五路8号天济大厦CD座7C-720（泰然五路8号工商银行）,19925159563,https://p0.meituan.net/440.0/joymerchant/3606181f179629d2f2a1a08ceaecc718-767471427.jpg
好大姐家政（福田店）,福田区莲花路景新花园景秀阁103,0755-84858885,https://p0.meituan.net/440.0/merchantpic/c805786f86f96e670ad7a801fcada974134370.jpg
家顺兴搬家公司,福田区星河国际18H,0755-83924643/21521978,https://p0.meituan.net/440.0/joymerchant/-7918624206056410245-24962336-1506505685453.png
金色世家宠物,福田区福强路金地工业区114栋520（地铁7号线上沙站C出口）,0755-82783261/13316525288,https://p0.meituan.net/440.0/merchantpic/675e071dfe85e479212131f550b3056c519625.jpg
犬猫宠物生活馆,福田区梅林街道梅岭街道办事处综合楼北座107号,0755-83232292,https://vfile.meituan.net/440.0/joymerchant/-2581325280633749075-34517427-1517551889531.jpg
顺丰丰修上门维修回收（南山店）,福田区粤海街道高新南九道6号深圳湾科技生态园6栋01层22-23号,0755-9533886,https://p1.meituan.net/440.0/joymerchant/07c692c63e0250c9973268b8143c09c0--1481483631.jpg
花西拾鲜花（欣悦鲜花）,福田区福田CBD福中三路横街37号,15697586981,https://p1.meituan.net/440.0/dpdeal/58f0cb9ac190c2e5f3de72ac38ffdc6b293151.jpg
桥恩心理全国连锁（福田店）,福田区皇岗益田路3006号皇庭世纪3栋2C,0755-86526362,https://p1.meituan.net/440.0/joymerchant/2895679131021952773-31266876-1544057963228.jpg
大象搬家有限公司,福田区泰然四路73号,13662669209/13620985125,https://p0.meituan.net/440.0/joymerchant/-8767000934043500478-27866344-1545621365571.jpg
深圳市澜馨鲜花礼品有限公司,福田区区宏荔西路莲花山花卉世界新市场24号,15989345342,https://p0.meituan.net/440.0/deal/44ac6b48f26e0e11da505e7480f693af116541.jpg
龙普兰特口腔,福田区福民路18号皇安大厦20楼（福民地铁站C出口）,0755-88303111,https://vfile.meituan.net/440.0/joymerchant/5915108268714004211-4797485-1535684239316.jpg
家家乐搬家公司,福田区福华一路88号中心商务大厦25F,13713682771,https://vfile.meituan.net/440.0/joymerchant/-9091552022071333352-26431690-1523951898942.jpg
小尾巴猫咪寄养酒店,福田区深圳新洲八街蜜园小区蜜园商业街13号商铺二楼小尾巴猫咪酒店（尊宝披萨）,18576752087/18675564315,https://p1.meituan.net/440.0/joymerchant/ca78b15ec3fcd1e01e2242947cf645f5--938559399.jpg
优享家电维修（岗厦店）,福田区彩田路东三坊302,13310840922,https://p0.meituan.net/440.0/mogu/a89371dfa112c05f6d23e39fd0fb947680931.jpg
快益修,福田区八卦四路10号中浩大厦一楼,400-696-9552,https://p0.meituan.net/440.0/joymerchant/310565a35930ad0b6f1aa6eadfee7a92--1403490640.jpg
喜宠工作室,福田区景田路缔梦园雅梦轩B座1508,13592926559,https://p1.meituan.net/440.0/merchantpic/5d7fb561550528c63e59c06aa8cc6386182674.jpg
吉日良辰搬迁,福田区香梅路2002号俊景豪园3栋29B,18924584218,https://p0.meituan.net/440.0/merchantpic/2e0cea9f83352595a8388a500ddd47a277303.jpg
鹏程开锁家电维修（福田店）,福田区燕南路87-3号,0755-22222191/13715297058,https://vfile.meituan.net/440.0/joymerchant/5624856778502528317-24303818-1532665858342.jpg
盛强电脑维修,福田区福保街道桂花路保税区宝瑞轩12号铺,15986676539,https://p0.meituan.net/440.0/merchantpic/cd5e8cf6cefbde10c71fc0a1164a5dcb6200274.jpg
爱家开锁,福田区回雁路132号,18323623576,https://img.meituan.net/440.0/ugcpic/bf81f0f4636eabd7b35ac1bfbb498267270653.png
鑫百顺搬家,福田区同心南路66号,18926564148,https://p0.meituan.net/440.0/merchantpic/3cf477d570b1aa738c2283ea2498af41855760.jpg
亿迈电脑,福田区华强北路赛格电子市场4楼4212,15692091632,https://p0.meituan.net/440.0/joymerchant/-750938830941158525-48496846-1542963170963.jpg
恺撒先生的宠物酒店,福田区福荣路68号金域蓝湾裙楼商户117-118号铺,13502892992,https://vfile.meituan.net/440.0/joymerchant/-1067963313281233320-38026971-1524916422326.jpg
蚂蚁搬家有限公司,福田区深南大道2012号证券大厦1621,13760282211,https://p1.meituan.net/440.0/merchantpic/ca85395b6956c54aa2b583041bb5f5a375135.jpg
魔方手机快修（梅林店）,福田区梅育路25-1号（近下梅林地铁B1出口）,13603033301/15361582805,https://p0.meituan.net/440.0/merchantpic/35189b553e28a69e66d1d804c075a26c30472.jpg
鼎森便民服务中心（岗厦店）,福田区岗厦东2坊41号,18475522922,https://p0.meituan.net/440.0/merchantpic/6ccfacc0908e07aaf42e6457c300a3eb542321.jpg
安家乐搬迁,福田区彩福大厦D2903,13392881553,https://p1.meituan.net/440.0/joymerchant/1762846991499699428-23883494-1544095511036.jpg
五福开锁（华强北店）,福田区华强北路1017号,0755-88822525,https://p0.meituan.net/440.0/merchantpic/17c1600cd4ae22eea331e54f258523c9145760.jpg
玫瑰花香（鲜花使者）,福田区花卉世界新场12号,18392150918,https://p0.meituan.net/440.0/deal/d17818843bbeddab098f89a7c9140714383316.jpg
鹏程开锁家电维修（香蜜湖店）,福田区香蜜湖农轩路28号（天御香山花园）,0755-22200811/13715297058,https://vfile.meituan.net/440.0/joymerchant/-4805033592166044813-24303818-1533350257739.jpg
微保姆家政（车公庙店）,福田区泰然二路泰然公寓区（车公庙地铁站）,0755-89344404/18927444427,https://p1.meituan.net/440.0/joymerchant/-6686740147736668857-23739346-1545450097788.jpg
全家福家政,福田区深南大道财富广场A座16CD,18126097907,https://vfile.meituan.net/440.0/joymerchant/-2583217353574339235-40203151-1526292874834.jpg
开门红广告,福田区车公庙泰然四路105栋102号-泰康轩正门旁,15016735528/13662579093,https://vfile.meituan.net/440.0/joymerchant/9125169410717358849-37980165-1537498975840.jpg
灵通心理咨询研究院（梅林店）,福田区上梅林梅华路147号2层,0755-83088706,https://p1.meituan.net/440.0/mogu/9e5ea178d5a59c5a345da5e445be5e7948614.jpg
腾迅邦服务（福田店）,福田区福星路福田村大门坊98-2,13600173905,https://p0.meituan.net/440.0/joymerchant/3218988578750103899-50875428-1545378935467.jpg
十分到家清洗（园岭店）,福田区八卦二路八卦岭工业区524栋一楼西边西铺,400-830-0100,https://p0.meituan.net/440.0/joymerchant/8829476506342934006-20864839-1545795023675.jpg
洁修哥（福田中心店）,福田区彩田路岗厦村东二坊37号,400-670-8378/13424412354,https://p1.meituan.net/440.0/joymerchant/-4765193647354140622-21189378-1537945282759.jpg
MAX PET PET玛斯宠物生活馆,福田区新沙路国都高尔夫一期翠逸阁1楼,17501650391,https://p1.meituan.net/440.0/merchantpic/14398602b4f843bb69baf014042419e71807690.jpg
巧匠到家（福田店）,福田区福华三路301号中海华庭南门对面,400-877-9136/13713936936,https://vfile.meituan.net/440.0/joymerchant/5386635319433734352-25835673-1523255587504.jpg
580家政网（深国投服务站）,福田区农业路深国投广场负一楼K21铺,0755-36907526,https://p0.meituan.net/440.0/joymerchant/-8880873751018763909-22511568-1505264980828.jpg
轻松到家（福田店）,福田区深南中路赛格苑1栋2楼,0755-36567055,https://p0.meituan.net/440.0/joymerchant/ff72719e0c8634bdeaba434877a8625a--1620304982.jpg
小张开锁万能维修（景田店）,福田区景田北三街38号景西大厦后门,13537787893,https://p1.meituan.net/440.0/merchantpic/344936125274bb911da8f1357356d05c515122.jpg
好兴亿电脑维修（华强北店）,福田区深南中路华强北赛格电子市场3楼3B56,0755-83662826,https://p0.meituan.net/440.0/merchantpic/e5fabd46eee46e5d54f86e61ef4bf26e500481.jpg
艾忆品手机屏幕维修,福田区燕南路9号君悦阁13楼1306（芝加哥国际公寓酒店楼上）,0755-88394939/13760181189,https://vfile.meituan.net/440.0/joymerchant/-2503174357327804137-4151815-1536246369394.jpg
吉明环保（福田店）,福田区香蜜湖路联合华鹏汽车交易广场内,0755-85211306,https://p1.meituan.net/440.0/mogu/4866c6a47885960a6fc420b65f6569ba22630.png
熊猫闪修手机服务（福田店）,福田区石厦街新天世纪商务中心B座1609A,0755-23999170/18018733980,https://p0.meituan.net/440.0/joymerchant/49f3a0a00a3f7bdb169566a49b98b93b--257109576.jpg
小张开锁维修（福田店）,福田区车公庙泰然四路22号,13392844255,https://p1.meituan.net/440.0/mogu/266eeb5f6a7f514a6ebf5c2033cba39d93096.jpg
UU手机快修,福田区泰然四路泰然工贸园202栋东座510C（近车公庙地铁站F出口）,17722981788,https://vfile.meituan.net/440.0/joymerchant/8657919255724679969-40252116-1526020247439.jpg
小张开锁万能维修（梅林店）,福田区凯丰路8-11号,13392844255/13537787893,https://p1.meituan.net/440.0/merchantpic/af50d4f12e03711740a71492956a88ab15137.jpg
速派星电器维修服务中心（景田店）,福田区景田北街景蜜村北区12栋102号,13530209192,https://p0.meituan.net/440.0/joymerchant/1001474030502517079-25085413-1509940469345.png
爪爪宠物喵星球（皇庭广场店）,福田区福华三路118号皇庭广场B1层,13622699436,https://p0.meituan.net/440.0/merchantpic/e5529cbef827baf889f2be74c580632f382846.jpg
鼎森便民服务中心（景田店）,福田区商报东路17号,18475522922,https://p0.meituan.net/440.0/merchantpic/6ccfacc0908e07aaf42e6457c300a3eb542321.jpg
圣宠宠物（深圳梅林路店）,福田区下梅林梅林路154-30号,0755-23485996/15989529800,https://p0.meituan.net/440.0/merchantpic/60ced0ffbd175037b3a4014c49f1e88e1133839.jpg
铜将军开锁服务店,福田区上梅林新村27栋一楼,13928482768,https://p1.meituan.net/440.0/mogu/71e142c1aea1a7db539778ad9659c292164774.jpg
鼎森便民服务中心,福田区深南中路1002新闻大厦,18475522922,https://p0.meituan.net/440.0/merchantpic/6ccfacc0908e07aaf42e6457c300a3eb542321.jpg
水电小哥（新洲店）,福田区新洲南新街新洲南村45栋305,17704056163,https://p1.meituan.net/440.0/mogu/8b9fa4809c282e2a250413744514d52c521954.png
辉越开锁,福田区福田新洲南村65栋102室,13530438962,https://p1.meituan.net/440.0/dpdeal/ed3d8ff8bc14867b672d9889d4fee74e387903.jpg
安家邦家政,福田区福强路5179号（上沙地铁A出口西200米）,0755-83232730/13699750060,https://vfile.meituan.net/440.0/joymerchant/-7593176430770154364-41586236-1532603816086.jpg
花花宠物酒店,福田区深国投广场负一楼停车场内C1-C6区（山姆店门口扶手梯下来 左拐轿之林旁边）,18033091906,https://vfile.meituan.net/440.0/joymerchant/-1817240724206241145-29375399-1517555201799.jpg
宠物语工作室,福田区石厦北二街新天世纪商务中心C座703（石厦天虹&马成时代广场）,0755-82710737/13560788468,https://p1.meituan.net/440.0/joymerchant/-4596440223152267947-45306998-1539049451424.jpg
汉林锁业（竹子林店）,福田区红荔西路竹园小区28栋（近竹园小学）,19875527780,https://p0.meituan.net/440.0/joymerchant/-7727680322854223293-48015741-1541046661183.jpg
益民疏通清洁服务有限公司（福田店）,福田区福宁街福田村大门坊135栋一楼A07号,13554920983,https://vfile.meituan.net/440.0/joymerchant/2977119598352757611-30709284-1534170216819.jpg
名星宠物会所,福田区福华路253号福华新村北门1栋8号铺（岗厦地铁站D出口）,0755-82557556,https://vfile.meituan.net/440.0/joymerchant/2611150650284696493-45361905-1537120259734.jpg
乐安居搬家（福田店）,福田区景田路景田西小区17栋2808,15018504512/13612653981,https://p1.meituan.net/440.0/merchantpic/c5e4eb972fc1146df769a2fbbc2b20ab130235.jpg
春泥家政清洁公司,福田区莲花街道莲花路2075号香丽大厦香莲阁10A,0755-22325896/17722805839,https://p0.meituan.net/440.0/merchantpic/05ec9d03d0067cb1cb09bdb34901ee43360741.jpg
吉祥开锁服务,福田区新洲七街祠堂村160号101铺（新沙小学旁）,13927444589,https://p0.meituan.net/440.0/joymerchant/7934806064506142943-24193679-1543460684329.jpg
易视达视力康复店（景田店）,福田区景田路2号3楼比邦教育城内308室,0755-83209744,https://p0.meituan.net/440.0/joymerchant/-2936744016697458478-47099900-1539676033939.jpg
管家帮家政保洁服务（金田路分店）,福田区福强路,18518137838,https://p0.meituan.net/440.0/mogu/1f4e8276baf828d88ab14f3c61ad41c3100308.jpg
迁居乐搬迁（福田店）,福田区福田街道深南中路南光捷佳大厦1728室,13028803362,https://vfile.meituan.net/440.0/joymerchant/382714712152942840-24175112-1524489126617.jpg
巧匠开锁（侨香店）,福田区侨香路侨乡村2008号,13316904760,https://p1.meituan.net/440.0/dpdeal/55c2bc3660fecdb3b1f8322d5641d6ef110069.jpg
君胜开锁,福田区莲花街道景田新狮村9栋203,13728848711,https://p1.meituan.net/440.0/merchantpic/b3eadd9e45c288c9709185aa13086c69441776.jpg
美康环境卫生服务有限公司,福田区新洲五街35号,13724375159,https://vfile.meituan.net/440.0/joymerchant/3187954066137764646-28182428-1527649588956.jpg
圣匠锁具商城（福田店）,福田区石厦北一街阳光四季1-2栋商铺109A,0755-25619110,https://p1.meituan.net/440.0/mogu/d8d9c806375fc510fc256695bc128d2314426.jpg
萌宠星人研究所,福田区福荣路益田村南1门58栋104（益田村南1门、福田外国语高中旁停车场）,17727802513,https://p1.meituan.net/440.0/joymerchant/5939306859616059401-47264562-1541736102197.jpg
幸福蚂蚁搬家,福田区泰然四路25号,13713664562/13418992871,https://p0.meituan.net/440.0/merchantpic/c0a8055a16bf190f68b4d28ec96edc38657984.jpg
圣匠锁具商城（海滨广场店）,福田区福保街道皇岗路皇岗花园大厦裙楼第二层东1号（近海滨广场）,13360507110,https://p1.meituan.net/440.0/mogu/d8d9c806375fc510fc256695bc128d2314426.jpg
益力桶装水（皇岗店）,福田区皇岗新村170栋一楼,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
new big电脑维修,福田区新洲三街祥云天都世纪1楼138铺（新洲苏宁易购内）,17704055455/15999618789,https://p1.meituan.net/440.0/mogu/5173a2a89c0764c5b0e2669acf615f93259065.jpg
金石开锁换锁指纹锁服务中心（福田店）,福田区福中三路黄埔雅苑商场1层商铺,18320999972,https://p0.meituan.net/440.0/mogu/59784ad30109d1800c5942ec4c7040b7116582.jpg
中港蚂蚁搬家,福田区沙头街道福强路沙尾西村165栋204,0755-82670883,https://p1.meituan.net/440.0/merchantpic/ef2ab23041b20bc86fd5dc17dd363ba8248497.jpg
好师傅电器维修,福田区皇岗路长福花园6栋3单元102（近莲花村地铁站）,0755-89366196/18503003219,https://p1.meituan.net/440.0/merchantpic/e692c16d585cdb93fdb07fde8584f917116975.jpg
五福开锁,福田区中康路58号,0755-88822525,https://p1.meituan.net/440.0/merchantpic/1493dee893ebbb68b8054a5dc1ff910756919.jpg
九零零家庭生活服务（福田区店）,福田区福中路21-3号紫玉花园旁,400-694-1900,https://vfile.meituan.net/440.0/joymerchant/-1157424752773878474-43346074-1532570210742.jpg
十分到家维修（华强北店）,福田区深南中路2008号华联大厦12楼1218室,400-830-0100,https://p0.meituan.net/440.0/joymerchant/-5754714221480928859-20864839-1545357444560.jpg
争渡心理咨询（福田总部）,福田区福田彩田路2030号澳新亚大厦19楼1901室（岗厦地铁站D出口直行200米左转）,400-182-1968,https://p1.meituan.net/440.0/education/4a1ba7a38a83a4c46b08475f38843744188563.png
爱心蚂蚁搬家,福田区深南大道科技园18号,0755-82673355/13751150708,https://p1.meituan.net/440.0/merchantpic/eb1278a7c4191f90dc38fc3dc2f21d211704580.jpg
工匠到家空调维修加雪种（福田店）,福田区梅亭路8号（近宝翠居）,0755-82774112/18320942807,https://vfile.meituan.net/440.0/joymerchant/8296894574222203898-27715318-1523722212368.jpg
海力生活管家,福田区福强路沙尾西村228栋501室（近车公庙、近保税区）,13714717547,https://p1.meituan.net/440.0/joymerchant/707916047389767991-27595754-1544779524480.jpg
三把起子手机维修回收（福田店）,福田区彩田路星河世纪大厦B栋2517,400-660-8098/18557523239,https://vfile.meituan.net/440.0/joymerchant/577757171096006186-39190794-1536132356855.jpg
同城修手机电脑维修（景田店）,福田区北环大道辅路梅富村68号104室（梅景地铁站A2出口，福田中医院站台往罗湖方向）,0755-83222236/18926590018,https://p1.meituan.net/440.0/merchantpic/78408feb55c0035c8f2044dd87091cbb256186.jpg
千鹤科技电脑维修中心（八卦岭店）,福田区八卦一路鹏益花园5栋商务中心11楼（7号线八卦岭地铁A出口）,0755-22311466/15361614315,https://p0.meituan.net/440.0/merchantpic/22650095f2267e01e38bd34de8531c1481292.jpg
轻喜到家（福田梅林店）,福田区梅林路156号（梅林苑5栋）,0755-95013355/400-166-9366,https://p0.meituan.net/440.0/joymerchant/-7336010774116109162-27300222-1542698329369.jpg
智人电脑维修（车公庙店）,福田区泰然五路天祥大厦A座9A1-021室,0755-23613145/18923713316,https://p0.meituan.net/440.0/merchantpic/9c1b0368eabf8ac628cb0609bc23495627710.jpg
闪修侠（福田店）,福田区滨河大道5003号爱地大厦东座601室,0755-82539383,https://p0.meituan.net/440.0/dpdeal/32190f43d3940b5c1f370577a058e647405257.jpg
急客通（华强店）,福田区华强北路华新小区HX23栋,13682335459,https://p1.meituan.net/440.0/mogu/156d67c9368123b5cbf933430a121d1b102858.jpg
鼎恩广告公司,福田区椰树村8巷1号（kkone）,0755-83200061/15813134137,https://p1.meituan.net/440.0/merchantpic/b9adc886839763526d524d970d4434321139553.jpg
咪奥宠物生活馆,福田区下梅林二街颂德花园一层商铺（福田农批对面）,0755-82551909/17722483667,https://p1.meituan.net/440.0/merchantpic/c0f0e9cdb08e14bbceec0c916ef15167910938.jpg
家电小哥（福田店）,福田区北环大道合正园B3栋（尊品荟对面）,null,https://p0.meituan.net/440.0/joymerchant/-309364871855237692-21016001-1542762844484.jpg
老字号蚂蚁搬家（福田店）,福田区福华路322号文蔚大厦19C,13421372864,https://p1.meituan.net/440.0/dpdeal/511e0dcd207a59fa3c4cc648937b856553874.jpg
易修笔记本维修中心,福田区深南中路赛格电子市场五楼5288号,13662594545/13590145280,https://p1.meituan.net/440.0/dpdeal/4718a40a2235e66c30b7ed94edaa0e80196077.jpg
快洗到家家电清洗（福田店）,福田区回雁路景鹏大厦1栋商铺,13724282393,https://p1.meituan.net/440.0/merchantpic/8823f758533b5b63ac846b9dea604ca2130775.jpg
怡宝（上梅林店）,福田区上梅林祠堂村70号101号铺,0755-26922222,https://p0.meituan.net/440.0/dpdeal/f069ee73ea9a4b81ac970b65a378bd1579672.jpg
怡宝（下沙店）,福田区下沙6坊35号-1,0755-26922222,https://p1.meituan.net/440.0/dpdeal/58748075f77770971e33cbb341d3420a225833.jpg
怡宝（梅林1店）,福田区下梅林村63栋102,0755-26922222,https://p0.meituan.net/440.0/dpdeal/f069ee73ea9a4b81ac970b65a378bd1579672.jpg
小哥帮（福华路店）,福田区福华路服装商城负一楼,400-818-5088,https://p0.meituan.net/440.0/joymerchant/ed9a0f728b6c5215156347f6f954f7fa-242862185.jpg
莲花北路花卉,福田区莲花北路花卉世界新市场104-5号,13164768943,https://p1.meituan.net/440.0/deal/a23eb0afceada3af8f4150d3a13f41d2141647.jpg
洁修哥（福田店）,福田区农园路和香轩路交叉口北行60米路东,400-670-8378/13424412354,https://vfile.meituan.net/440.0/joymerchant/-2492677663083718679-21189378-1529544408183.jpg
轻松到家（梅林店）,福田区梅华路先科花园6栋,0755-36567055,https://p1.meituan.net/440.0/joymerchant/ff72719e0c8634bdeaba434877a8625a--903105673.jpg
580家政网（景田服务站）,福田区红荔西路天健名苑B座5E（景田岁宝楼上，地铁2号线莲花西站A/B出口旁）,0755-36907526,https://p1.meituan.net/440.0/dpdeal/a1d95bec426b9f8797615cfd3751ba15133593.jpg
爪爪宠物喵星球（华强北店）,福田区华强北街道时尚mego商场新一街47-49号铺,0755-23609232,https://p0.meituan.net/440.0/merchantpic/e5529cbef827baf889f2be74c580632f382846.jpg
优享家电维修（竹子林店）,福田区建业大街建业南区5栋201室,13310840922,https://p0.meituan.net/440.0/mogu/a89371dfa112c05f6d23e39fd0fb947680931.jpg
益力桶装水（NEO店）,福田区香蜜湖街道深南大道车公庙绿景广场裙楼NEO大厦负三层,400-700-9511,https://p1.meituan.net/440.0/dpdeal/ba007fc214b15845343bdbc4966bd1c658606.png
友田达怡宝桶装水专卖（新洲店）,福田区石厦西村118号113铺,0755-26922222,https://p1.meituan.net/440.0/deal/__11427578__3771284.jpg
水电小哥（罗湖店）,福田区笋岗四路园岭新村80栋103,17704056163,https://p1.meituan.net/440.0/mogu/223709bc4d083a99cdd668a09e994743641496.png
友田达怡宝桶装水专卖（车公庙店）,福田区车公庙安华工业区9栋118号,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
轻喜到家（香蜜湖店）,福田区香梅路水榭花都1栋803号,0755-95013355/400-166-9366,https://p0.meituan.net/440.0/joymerchant/-7336010774116109162-27300222-1542698329369.jpg
友田达怡宝桶装水专卖（东海店）,福田区竹林花园5栋1楼1-1室（近竹子林）,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
580家政网（明月服务站）,福田区石厦北三街碧馨苑B铺（福田区委对面）,96580,https://p0.meituan.net/440.0/joymerchant/4305955834234454524.jpg
友田达怡宝桶装水专卖（莲花店）,福田区商报路新景苑3栋4号铺,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
友田达怡宝桶装水专卖（华富店）,福田区华新村东区24栋104铺,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
益力桶装水（莲花山公园店）,福田区商报东路新景苑3号,400-700-9511,https://p1.meituan.net/440.0/dpdeal/45e66fe4818bb41e0d6d8d6c6ae03110105529.png
益力桶装水（泰然店）,福田区安华工业区7栋107号,400-700-9511,https://p1.meituan.net/440.0/dpdeal/4781ae14f31939f7889761ed811a9d6c36755.jpg
管家帮家政保洁服务（福田分店）,福田区金田路时代广场1008-6号1楼,18518137838,https://vfile.meituan.net/440.0/joymerchant/928891445198901727-23411833-1534930390975.jpg
友田达怡宝桶装水专卖（八卦岭店）,福田区八卦岭工业区八卦二路五栋厂房整栋第1楼16号,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
汇生活怡宝桶装水专卖（振华店）,福田区振华路桑达小区103铺,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
智人电脑维修（岗厦店）,福田区彩田路彩福大厦鸿福阁一楼旁深度图文广告进商场里面走直线10米,18923713316,https://p0.meituan.net/440.0/merchantpic/9c1b0368eabf8ac628cb0609bc23495627710.jpg
汇生活怡宝桶装水专卖（上沙店）,福田区沙嘴村四坊16号102铺,0755-26922222,https://p1.meituan.net/440.0/deal/__11427578__3771284.jpg
凤麟家政（华强店）,福田区福虹路45号华强花园A栋16,0755-82732526/18123637175,https://p0.meituan.net/440.0/joymerchant/-2503881062834368630-23462099-1545028800723.jpg
友田达怡宝桶装水专卖（保税店）,福田区保税区宝田苑A栋107A铺,0755-26922222,https://p1.meituan.net/440.0/deal/41aa60a32a648d8008dcaae6b5c8629d392500.jpg
其他生活,罗湖区,全部,
勤奋蚂蚁搬家,罗湖区凤凰路126号中山花园A座二楼3号,0755-28876336/18211427289,https://p1.meituan.net/440.0/joymerchant/8439025723343409443-23627497-1495028898718.jpeg
家福顺搬迁,罗湖区庐峰街黄贝路1000号,18926770086,https://p0.meituan.net/440.0/merchantpic/963eb2b754ed5408936120f7ec67ac34709833.jpg
地球天使,罗湖区凤凰路3号海珑华苑海天阁2102号,13543330987/13826550527,https://p1.meituan.net/440.0/merchantpic/81decca6504ae62b6b3a8c00be5242b4747126.jpg
蚂蚁世家,罗湖区深南东路5015号金丰城大厦2818B,0755-88307796/13728676119,https://p0.meituan.net/440.0/joymerchant/-2056861457552368485-30728061-1539920375229.jpg
荣声开锁换锁服务部（罗湖水库店）,罗湖区怡景路1012号（图书馆旁）,18219524839/13537597228,https://p1.meituan.net/440.0/merchantpic/db6c46f9938e1002e2cd5aeae4d2812b273055.jpg
e家政保洁家电清洗（罗湖店）,罗湖区翠竹路金福大厦A栋1916-F,400-666-4555,https://p1.meituan.net/440.0/dpdeal/69dfef0452ef7a2a801fb80a488aa2d5161945.jpg
鹏程开锁家电维修（罗湖店）,罗湖区友谊路钻石商业广场1楼底商,0755-88608234/13715297058,https://p1.meituan.net/440.0/mogu/e7d3e1176d91b49cf2d755a4eb85ba2637534.jpg
