订单ID,团长ID,订单日期,订单金额,参团人数,商品分类,团长返现金额
321512422,100638,2018/1/2,1283,15,零食-坚果,79.15
321512423,100447,2018/1/2,1927,18,生鲜-水产,114.35
321512424,100903,2018/1/2,1014,7,生鲜-水产,57.7
321512425,100896,2018/1/2,1237,12,零食-饮料,73.85
321512426,100488,2018/1/2,1328,18,生鲜-禽肉,84.4
321512427,100571,2018/1/2,1102,13,家用-日化用品,68.1
321512428,101002,2018/1/2,880,10,生鲜-水果,54
321512429,100708,2018/1/2,304,22,生鲜-水果,37.2
321512430,100479,2018/1/2,855,12,生鲜-蔬菜,54.75
321512431,100472,2018/1/2,795,2,家用-日化用品,41.75
321512432,100721,2018/1/2,711,7,生鲜-禽肉,42.55
321512433,100443,2018/1/2,1330,11,生鲜-蔬菜,77.5
321512434,100395,2018/1/2,937,5,生鲜-水果,51.85
321512435,100561,2018/1/2,466,2,零食-饮料,25.3
321512436,100924,2018/1/2,1606,19,家用-个人护理,99.3
321512437,100584,2018/1/2,1398,7,生鲜-水果,76.9
321512438,100721,2018/1/2,1690,7,生鲜-蔬菜,91.5
321512439,100980,2018/1/2,929,5,生鲜-水产,51.45
321512440,100436,2018/1/2,880,11,零食-膨化食品,55
321512441,100525,2018/1/2,771,8,生鲜-水产,46.55
321512442,100922,2018/1/2,907,5,零食-坚果,50.35
321512443,100494,2018/1/2,305,13,零食-膨化食品,28.25
321512444,100531,2018/1/2,696,17,生鲜-蔬菜,51.8
321512445,100930,2018/1/2,977,11,零食-膨化食品,59.85
321512446,100557,2018/1/2,928,16,生鲜-禽肉,62.4
321512447,100815,2018/1/2,952,10,生鲜-水产,57.6
321512448,100498,2018/1/2,906,6,生鲜-蔬菜,51.3
321512449,100833,2018/1/2,347,5,家用-个人护理,22.35
321512450,100662,2018/1/2,1054,9,零食-膨化食品,61.7
321512451,100836,2018/1/2,560,11,零食-饮料,39
321512452,100416,2018/1/2,1080,11,零食-方便食品,65
321512453,100632,2018/1/2,910,2,生鲜-水产,47.5
321512454,100530,2018/1/2,1079,12,生鲜-水果,65.95
321512455,100724,2018/1/2,797,3,家用-个人护理,42.85
321512456,100459,2018/1/2,1289,1,家用-清洁用品,65.45
321512457,100567,2018/1/2,362,3,生鲜-水果,21.1
321512458,100847,2018/1/2,958,6,零食-膨化食品,53.9
321512459,100738,2018/1/2,1248,11,零食-坚果,73.4
321512460,100394,2018/1/2,1420,12,零食-坚果,83
321512461,100533,2018/1/2,742,14,家用-个人护理,51.1
321512462,100814,2018/1/2,734,18,家用-日化用品,54.7
321512463,100787,2018/1/2,794,9,家用-清洁用品,48.7
321512464,100796,2018/1/2,1560,3,家用-个人护理,81
321512465,100352,2018/1/2,975,16,生鲜-水果,64.75
321512466,100521,2018/1/2,926,13,生鲜-水果,59.3
321512467,100649,2018/1/2,1066,2,生鲜-蔬菜,55.3
321512468,100822,2018/1/2,837,3,家用-日化用品,44.85
321512469,100781,2018/1/2,1423,3,生鲜-禽肉,74.15
321512470,100799,2018/1/2,745,5,生鲜-蔬菜,42.25
321512471,100610,2018/1/2,880,11,生鲜-水果,55
321512472,100979,2018/1/2,1189,4,零食-饮料,63.45
321512473,100925,2018/1/2,1023,5,家用-个人护理,56.15
321512474,100612,2018/1/2,1524,13,生鲜-水果,89.2
321512475,100497,2018/1/2,1176,11,生鲜-蔬菜,69.8
321512476,100647,2018/1/2,1187,17,生鲜-水产,76.35
321512477,100726,2018/1/2,1258,23,零食-膨化食品,85.9
321512478,100684,2018/1/2,1051,3,生鲜-水产,55.55
321512479,100527,2018/1/2,344,8,零食-坚果,25.2
321512480,100350,2018/1/2,820,4,零食-膨化食品,45
321512481,100782,2018/1/2,1353,10,生鲜-蔬菜,77.65
321512482,100647,2018/1/2,1017,15,零食-膨化食品,65.85
321512483,100373,2018/1/3,1130,10,生鲜-禽肉,66.5
321512484,100650,2018/1/3,1231,3,生鲜-水产,64.55
321512485,100406,2018/1/3,834,7,零食-饮料,48.7
321512486,100563,2018/1/3,873,11,生鲜-水产,54.65
321512487,100653,2018/1/3,789,11,生鲜-蔬菜,50.45
321512488,100951,2018/1/3,1274,15,家用-清洁用品,78.7
321512489,100372,2018/1/3,1867,11,生鲜-水果,104.35
321512490,100508,2018/1/3,860,7,家用-清洁用品,50
321512491,100480,2018/1/3,1056,16,生鲜-蔬菜,68.8
321512492,100352,2018/1/3,588,16,家用-个人护理,45.4
321512493,100922,2018/1/3,994,10,零食-膨化食品,59.7
321512494,100481,2018/1/3,1465,9,零食-膨化食品,82.25
321512495,100661,2018/1/3,742,2,家用-个人护理,39.1
321512496,100792,2018/1/3,933,4,家用-个人护理,50.65
321512497,101004,2018/1/3,505,14,生鲜-禽肉,39.25
321512498,100762,2018/1/3,530,9,零食-方便食品,35.5
321512499,100785,2018/1/3,954,7,零食-坚果,54.7
321512500,100647,2018/1/3,1163,6,生鲜-水产,64.15
321512501,100403,2018/1/3,1006,10,零食-膨化食品,60.3
321512502,100644,2018/1/3,1397,24,零食-膨化食品,93.85
321512503,100606,2018/1/3,983,9,生鲜-水果,58.15
321512504,100574,2018/1/3,925,6,零食-方便食品,52.25
321512505,100688,2018/1/3,654,11,家用-日化用品,43.7
321512506,100577,2018/1/3,711,13,零食-饮料,48.55
321512507,100843,2018/1/3,905,13,零食-坚果,58.25
321512508,100415,2018/1/3,1202,13,家用-个人护理,73.1
321512509,100361,2018/1/3,1026,18,家用-清洁用品,69.3
321512510,100398,2018/1/3,578,3,家用-清洁用品,31.9
321512511,100396,2018/1/3,683,6,零食-坚果,40.15
321512512,100823,2018/1/3,1235,9,生鲜-蔬菜,70.75
321512513,100550,2018/1/3,1113,16,生鲜-水果,71.65
321512514,100679,2018/1/3,1133,19,零食-方便食品,75.65
321512515,100357,2018/1/3,880,6,家用-日化用品,50
321512516,100981,2018/1/3,932,16,生鲜-禽肉,62.6
321512517,100812,2018/1/3,841,15,零食-膨化食品,57.05
321512518,100372,2018/1/3,1018,9,家用-清洁用品,59.9
321512519,100970,2018/1/3,1686,8,零食-膨化食品,92.3
321512520,100622,2018/1/3,1303,11,生鲜-水果,76.15
321512521,100871,2018/1/3,1316,17,家用-清洁用品,82.8
321512522,100730,2018/1/3,1071,7,生鲜-水果,60.55
321512523,100542,2018/1/3,979,8,零食-膨化食品,56.95
321512524,100642,2018/1/3,1216,5,零食-饮料,65.8
321512525,100526,2018/1/3,747,3,生鲜-蔬菜,40.35
321512526,100595,2018/1/3,766,11,生鲜-水果,49.3
321512527,100683,2018/1/3,1141,4,生鲜-禽肉,61.05
321512528,100571,2018/1/3,964,14,家用-个人护理,62.2
321512529,100760,2018/1/3,1082,6,生鲜-水产,60.1
321512530,100480,2018/1/3,986,11,生鲜-水产,60.3
321512531,100925,2018/1/3,1323,5,生鲜-水产,71.15
321512532,100889,2018/1/3,1026,2,生鲜-禽肉,53.3
321512533,100743,2018/1/3,514,11,零食-方便食品,36.7
321512534,100890,2018/1/3,1187,10,零食-膨化食品,69.35
321512535,100808,2018/1/3,878,4,生鲜-蔬菜,47.9
321512536,100744,2018/1/3,900,12,生鲜-蔬菜,57
321512537,100377,2018/1/3,1348,10,生鲜-蔬菜,77.4
321512538,100669,2018/1/3,1118,7,家用-个人护理,62.9
321512539,100682,2018/1/3,991,19,生鲜-水产,68.55
321512540,100747,2018/1/3,1203,13,零食-坚果,73.15
321512541,100418,2018/1/3,701,10,生鲜-禽肉,45.05
321512542,100870,2018/1/3,1294,16,家用-个人护理,80.7
321512543,100962,2018/1/3,274,10,家用-清洁用品,23.7
321512544,100597,2018/1/3,1182,11,零食-膨化食品,70.1
321512545,100930,2018/1/4,831,10,生鲜-蔬菜,51.55
321512546,100993,2018/1/4,508,8,生鲜-禽肉,33.4
321512547,100837,2018/1/4,733,12,零食-膨化食品,48.65
321512548,100686,2018/1/4,1349,1,生鲜-水产,68.45
321512549,100955,2018/1/4,992,6,零食-饮料,55.6
321512550,100773,2018/1/4,907,19,零食-膨化食品,64.35
321512551,100637,2018/1/4,978,12,零食-坚果,60.9
321512552,100847,2018/1/4,923,5,家用-个人护理,51.15
321512553,100889,2018/1/4,784,5,家用-个人护理,44.2
321512554,100990,2018/1/4,906,13,零食-膨化食品,58.3
321512555,100923,2018/1/4,1240,9,零食-方便食品,71
321512556,100747,2018/1/4,1498,9,生鲜-水果,83.9
321512557,100759,2018/1/4,954,12,生鲜-水产,59.7
321512558,100626,2018/1/4,625,20,生鲜-禽肉,51.25
321512559,100660,2018/1/4,1253,12,生鲜-禽肉,74.65
321512560,100974,2018/1/4,1551,7,家用-个人护理,84.55
321512561,100593,2018/1/4,1213,11,零食-膨化食品,71.65
321512562,100822,2018/1/4,705,6,家用-清洁用品,41.25
321512563,100451,2018/1/4,1068,11,生鲜-蔬菜,64.4
321512564,100382,2018/1/4,812,8,生鲜-水产,48.6
321512565,100697,2018/1/4,642,13,生鲜-水产,45.1
321512566,100506,2018/1/4,855,13,家用-个人护理,55.75
321512567,100462,2018/1/4,999,11,生鲜-水产,60.95
321512568,100872,2018/1/4,619,16,生鲜-水产,46.95
321512569,100778,2018/1/4,876,4,零食-膨化食品,47.8
321512570,100776,2018/1/4,1343,15,家用-个人护理,82.15
321512571,100573,2018/1/4,1048,9,家用-个人护理,61.4
321512572,100834,2018/1/4,1086,4,零食-膨化食品,58.3
321512573,100628,2018/1/4,953,7,家用-清洁用品,54.65
321512574,100455,2018/1/4,988,10,零食-饮料,59.4
321512575,100379,2018/1/4,807,5,生鲜-蔬菜,45.35
321512576,100447,2018/1/4,1411,2,生鲜-水果,72.55
321512577,100662,2018/1/4,1202,9,零食-方便食品,69.1
321512578,100582,2018/1/4,1060,13,生鲜-蔬菜,66
321512579,100828,2018/1/4,939,3,零食-方便食品,49.95
321512580,100449,2018/1/4,1108,18,生鲜-蔬菜,73.4
321512581,100952,2018/1/4,592,6,零食-坚果,35.6
321512582,100979,2018/1/4,1084,16,家用-个人护理,70.2
321512583,100806,2018/1/4,1557,13,零食-坚果,90.85
321512584,100511,2018/1/4,1066,17,生鲜-蔬菜,70.3
321512585,100919,2018/1/4,618,14,零食-方便食品,44.9
321512586,100774,2018/1/4,1145,12,家用-日化用品,69.25
321512587,100927,2018/1/4,1046,14,零食-饮料,66.3
321512588,100477,2018/1/4,948,6,家用-个人护理,53.4
321512589,100489,2018/1/4,668,10,家用-清洁用品,43.4
321512590,100526,2018/1/4,1216,6,家用-清洁用品,66.8
321512591,100933,2018/1/4,1084,18,零食-饮料,72.2
321512592,100869,2018/1/4,1202,8,家用-清洁用品,68.1
321512593,100511,2018/1/4,1233,7,零食-坚果,68.65
321512594,100940,2018/1/4,970,3,零食-方便食品,51.5
321512595,100861,2018/1/4,635,3,生鲜-蔬菜,34.75
321512596,100372,2018/1/4,627,7,生鲜-蔬菜,38.35
321512597,100676,2018/1/4,1093,5,生鲜-水果,59.65
321512598,100632,2018/1/4,1212,9,零食-方便食品,69.6
321512599,100743,2018/1/4,802,17,生鲜-水产,57.1
321512600,100693,2018/1/4,1150,3,零食-饮料,60.5
321512601,100769,2018/1/4,1365,7,家用-日化用品,75.25
321512602,100750,2018/1/4,1509,13,家用-日化用品,88.45
321512603,100506,2018/1/4,821,10,家用-日化用品,51.05
321512604,100837,2018/1/4,1227,9,零食-方便食品,70.35
321512605,100494,2018/1/4,580,14,零食-方便食品,43
321512606,100465,2018/1/4,442,15,零食-坚果,37.1
321512607,100820,2018/1/4,1498,7,家用-个人护理,81.9
321512608,100465,2018/1/4,1163,15,家用-个人护理,73.15
321512609,100943,2018/1/4,824,12,家用-清洁用品,53.2
321512610,100574,2018/1/4,480,5,家用-个人护理,29
321512611,100777,2018/1/4,713,3,零食-饮料,38.65
321512612,100905,2018/1/4,1023,7,零食-饮料,58.15
321512613,100720,2018/1/4,772,8,生鲜-水产,46.6
321512614,100916,2018/1/4,956,4,家用-日化用品,51.8
321512615,100552,2018/1/4,1574,7,零食-饮料,85.7
321512616,100882,2018/1/4,923,11,家用-清洁用品,57.15
321512617,100686,2018/1/4,752,1,零食-方便食品,38.6
321512618,100876,2018/1/4,1548,14,家用-清洁用品,91.4
321512619,100755,2018/1/4,1252,12,生鲜-水果,74.6
321512620,100981,2018/1/4,877,9,家用-清洁用品,52.85
321512621,100394,2018/1/5,976,10,生鲜-禽肉,58.8
321512622,100744,2018/1/5,1015,2,零食-坚果,52.75
321512623,100582,2018/1/5,1090,15,零食-坚果,69.5
321512624,100835,2018/1/5,1069,15,家用-日化用品,68.45
321512625,100724,2018/1/5,1070,14,家用-个人护理,67.5
321512626,100431,2018/1/5,973,4,生鲜-禽肉,52.65
321512627,100716,2018/1/5,1214,12,家用-日化用品,72.7
321512628,100404,2018/1/5,1220,10,生鲜-蔬菜,71
321512629,100551,2018/1/5,1586,4,生鲜-禽肉,83.3
321512630,100798,2018/1/5,658,13,生鲜-禽肉,45.9
321512631,100675,2018/1/5,1203,8,零食-坚果,68.15
321512632,100793,2018/1/5,996,9,家用-清洁用品,58.8
321512633,100881,2018/1/5,1439,15,零食-坚果,86.95
321512634,100487,2018/1/5,657,16,生鲜-水产,48.85
321512635,100943,2018/1/5,1108,14,家用-个人护理,69.4
321512636,100426,2018/1/5,1233,11,零食-膨化食品,72.65
321512637,100980,2018/1/5,1091,1,生鲜-禽肉,55.55
321512638,100920,2018/1/5,681,5,生鲜-禽肉,39.05
321512639,100480,2018/1/5,1211,7,家用-日化用品,67.55
321512640,100352,2018/1/5,1378,14,零食-饮料,82.9
321512641,100472,2018/1/5,859,8,零食-膨化食品,50.95
321512642,100558,2018/1/5,1514,7,家用-个人护理,82.7
321512643,100952,2018/1/5,632,9,生鲜-水果,40.6
321512644,100597,2018/1/5,1629,15,生鲜-蔬菜,96.45
321512645,100836,2018/1/5,891,8,生鲜-蔬菜,52.55
321512646,100579,2018/1/5,862,14,家用-个人护理,57.1
321512647,100570,2018/1/5,1055,9,生鲜-水果,61.75
321512648,100903,2018/1/5,1252,13,零食-坚果,75.6
321512649,100373,2018/1/5,499,15,家用-清洁用品,39.95
321512650,101001,2018/1/5,1159,14,零食-膨化食品,71.95
321512651,100568,2018/1/5,414,17,家用-日化用品,37.7
321512652,100441,2018/1/5,963,11,家用-日化用品,59.15
321512653,100766,2018/1/5,1327,15,生鲜-禽肉,81.35
321512654,100950,2018/1/5,901,14,零食-饮料,59.05
321512655,100875,2018/1/5,709,11,零食-方便食品,46.45
321512656,100364,2018/1/5,1315,15,生鲜-蔬菜,80.75
321512657,100575,2018/1/5,1289,12,零食-坚果,76.45
321512658,100670,2018/1/5,1546,8,零食-膨化食品,85.3
321512659,100629,2018/1/5,1006,15,家用-个人护理,65.3
321512660,100805,2018/1/5,552,20,家用-清洁用品,47.6
321512661,100387,2018/1/5,1374,21,生鲜-禽肉,89.7
321512662,100513,2018/1/5,572,11,零食-坚果,39.6
321512663,100578,2018/1/5,1196,3,生鲜-禽肉,62.8
321512664,100438,2018/1/5,565,9,零食-饮料,37.25
321512665,100565,2018/1/5,669,7,零食-膨化食品,40.45
321512666,100774,2018/1/5,787,5,生鲜-禽肉,44.35
321512667,100550,2018/1/5,941,14,家用-日化用品,61.05
321512668,100915,2018/1/5,423,5,家用-清洁用品,26.15
321512669,100898,2018/1/5,844,5,零食-坚果,47.2
321512670,100489,2018/1/5,1245,8,生鲜-蔬菜,70.25
321512671,100921,2018/1/5,1439,6,家用-清洁用品,77.95
321512672,100510,2018/1/5,1155,18,家用-清洁用品,75.75
321512673,100374,2018/1/5,1361,6,生鲜-水产,74.05
321512674,100528,2018/1/5,1340,2,家用-日化用品,69
321512675,100619,2018/1/5,654,9,零食-坚果,41.7
321512676,100505,2018/1/5,966,2,家用-日化用品,50.3
321512677,100465,2018/1/5,475,3,零食-饮料,26.75
321512678,100640,2018/1/5,683,19,家用-日化用品,53.15
321512679,100659,2018/1/5,1001,12,生鲜-水产,62.05
321512680,100847,2018/1/5,824,10,家用-个人护理,51.2
321512681,100443,2018/1/5,750,12,家用-日化用品,49.5
321512682,100463,2018/1/5,839,11,生鲜-禽肉,52.95
321512683,100989,2018/1/5,1227,11,零食-方便食品,72.35
321512684,100634,2018/1/5,647,13,生鲜-水产,45.35
321512685,100832,2018/1/5,1648,16,生鲜-水果,98.4
321512686,100884,2018/1/5,866,17,家用-清洁用品,60.3
321512687,100935,2018/1/5,960,7,生鲜-水产,55
321512688,100978,2018/1/5,1027,9,家用-个人护理,60.35
321512689,100631,2018/1/5,1437,22,零食-方便食品,93.85
321512690,100691,2018/1/5,1365,14,零食-坚果,82.25
321512691,100790,2018/1/5,1315,7,零食-饮料,72.75
321512692,100862,2018/1/5,1164,4,零食-膨化食品,62.2
321512693,100510,2018/1/5,1095,3,家用-日化用品,57.75
321512694,100548,2018/1/5,1423,14,零食-方便食品,85.15
321512695,100857,2018/1/5,1494,7,家用-日化用品,81.7
321512696,100949,2018/1/5,1370,9,生鲜-禽肉,77.5
321512697,100873,2018/1/5,1323,11,零食-坚果,77.15
321512698,100943,2018/1/5,1070,4,生鲜-水产,57.5
321512699,100790,2018/1/6,1150,9,家用-清洁用品,66.5
321512700,100755,2018/1/6,1320,9,零食-方便食品,75
321512701,100442,2018/1/6,1029,11,零食-坚果,62.45
321512702,100467,2018/1/6,1464,17,生鲜-水产,90.2
321512703,100943,2018/1/6,1113,9,生鲜-蔬菜,64.65
321512704,100985,2018/1/6,1396,12,零食-饮料,81.8
321512705,100926,2018/1/6,263,14,家用-个人护理,27.15
321512706,100701,2018/1/6,977,12,零食-坚果,60.85
321512707,100960,2018/1/6,1078,12,家用-日化用品,65.9
321512708,100468,2018/1/6,1090,12,家用-清洁用品,66.5
321512709,100869,2018/1/6,483,7,零食-饮料,31.15
321512710,100558,2018/1/6,989,18,家用-个人护理,67.45
321512711,100613,2018/1/6,1139,7,零食-坚果,63.95
321512712,100599,2018/1/6,763,12,生鲜-蔬菜,50.15
321512713,100393,2018/1/6,876,8,生鲜-禽肉,51.8
321512714,100921,2018/1/6,1454,15,零食-方便食品,87.7
321512715,100594,2018/1/6,1020,9,家用-个人护理,60
321512716,100930,2018/1/6,1235,14,生鲜-蔬菜,75.75
321512717,100895,2018/1/6,1125,6,家用-清洁用品,62.25
321512718,100722,2018/1/6,1373,10,零食-方便食品,78.65
321512719,100412,2018/1/6,1215,14,生鲜-禽肉,74.75
321512720,100958,2018/1/6,898,7,家用-清洁用品,51.9
321512721,100940,2018/1/6,1067,1,零食-坚果,54.35
321512722,100707,2018/1/6,1085,16,生鲜-蔬菜,70.25
321512723,100435,2018/1/6,1535,13,家用-个人护理,89.75
321512724,100837,2018/1/6,1348,5,生鲜-禽肉,72.4
321512725,100678,2018/1/6,796,10,生鲜-水产,49.8
321512726,100746,2018/1/6,989,15,家用-个人护理,64.45
321512727,100558,2018/1/6,1258,5,家用-日化用品,67.9
321512728,100729,2018/1/6,1214,1,生鲜-蔬菜,61.7
321512729,100737,2018/1/6,893,11,家用-清洁用品,55.65
321512730,100816,2018/1/6,811,5,零食-方便食品,45.55
321512731,100445,2018/1/6,1166,7,零食-方便食品,65.3
321512732,100368,2018/1/6,1264,7,零食-方便食品,70.2
321512733,100408,2018/1/6,1402,17,家用-个人护理,87.1
321512734,100758,2018/1/6,756,9,生鲜-蔬菜,46.8
321512735,100980,2018/1/6,627,5,零食-方便食品,36.35
321512736,100764,2018/1/6,1371,9,家用-日化用品,77.55
321512737,100714,2018/1/6,1305,16,家用-清洁用品,81.25
321512738,100590,2018/1/6,1135,12,零食-坚果,68.75
321512739,100822,2018/1/6,1136,5,零食-方便食品,61.8
321512740,100429,2018/1/6,1042,8,生鲜-水产,60.1
321512741,100625,2018/1/6,936,4,家用-日化用品,50.8
321512742,100868,2018/1/6,1375,7,生鲜-蔬菜,75.75
321512743,100766,2018/1/6,1500,18,生鲜-水果,93
321512744,100951,2018/1/6,589,13,零食-饮料,42.45
321512745,100503,2018/1/6,1041,11,家用-日化用品,63.05
321512746,100993,2018/1/6,744,17,零食-膨化食品,54.2
321512747,101006,2018/1/6,894,10,生鲜-水产,54.7
321512748,100677,2018/1/6,893,12,零食-方便食品,56.65
321512749,100503,2018/1/6,958,3,零食-膨化食品,50.9
321512750,100542,2018/1/6,1074,8,生鲜-水果,61.7
321512751,100605,2018/1/6,1167,9,零食-饮料,67.35
321512752,100901,2018/1/6,699,10,家用-清洁用品,44.95
321512753,100822,2018/1/6,1102,3,生鲜-禽肉,58.1
321512754,100814,2018/1/6,819,12,家用-日化用品,52.95
321512755,100838,2018/1/6,615,10,家用-日化用品,40.75
321512756,100368,2018/1/6,390,21,生鲜-禽肉,40.5
321512757,100730,2018/1/6,338,4,家用-个人护理,20.9
321512758,100922,2018/1/6,855,13,家用-个人护理,55.75
321512759,100528,2018/1/6,1182,19,生鲜-水产,78.1
321512760,100773,2018/1/6,1026,13,零食-坚果,64.3
321512761,100789,2018/1/6,1241,10,家用-个人护理,72.05
321512762,100436,2018/1/6,872,13,生鲜-水果,56.6
321512763,100378,2018/1/6,969,12,生鲜-禽肉,60.45
321512764,100384,2018/1/6,690,8,零食-膨化食品,42.5
321512765,100470,2018/1/6,1122,4,零食-方便食品,60.1
321512766,100860,2018/1/6,1083,10,零食-饮料,64.15
321512767,100430,2018/1/6,1206,11,零食-膨化食品,71.3
321512768,100846,2018/1/6,924,7,零食-方便食品,53.2
321512769,100759,2018/1/6,1374,5,生鲜-水产,73.7
321512770,100760,2018/1/7,1204,10,零食-方便食品,70.2
321512771,100540,2018/1/7,1334,6,家用-个人护理,72.7
321512772,100811,2018/1/7,1085,14,零食-饮料,68.25
321512773,100945,2018/1/7,444,13,零食-膨化食品,35.2
321512774,100399,2018/1/7,766,12,零食-饮料,50.3
321512775,100743,2018/1/7,1353,15,家用-日化用品,82.65
321512776,100388,2018/1/7,1459,11,家用-个人护理,83.95
321512777,101007,2018/1/7,879,9,家用-日化用品,52.95
321512778,100665,2018/1/7,1164,6,零食-膨化食品,64.2
321512779,100828,2018/1/7,1259,9,生鲜-蔬菜,71.95
321512780,100873,2018/1/7,1297,14,零食-饮料,78.85
321512781,100951,2018/1/7,1179,13,家用-清洁用品,71.95
321512782,100949,2018/1/7,1051,11,家用-日化用品,63.55
321512783,100590,2018/1/7,1145,15,零食-方便食品,72.25
321512784,100600,2018/1/7,914,16,零食-膨化食品,61.7
321512785,100751,2018/1/7,1095,8,生鲜-禽肉,62.75
321512786,100363,2018/1/7,277,11,家用-个人护理,24.85
321512787,100959,2018/1/7,1286,27,生鲜-禽肉,91.3
321512788,100571,2018/1/7,707,2,零食-膨化食品,37.35
321512789,100641,2018/1/7,763,19,家用-清洁用品,57.15
321512790,100443,2018/1/7,1615,4,生鲜-蔬菜,84.75
321512791,100420,2018/1/7,529,1,零食-饮料,27.45
321512792,100384,2018/1/7,886,3,家用-日化用品,47.3
321512793,100564,2018/1/7,1353,7,家用-日化用品,74.65
321512794,100841,2018/1/7,1268,4,生鲜-水果,67.4
321512795,100768,2018/1/7,947,17,生鲜-禽肉,64.35
321512796,100992,2018/1/7,1629,4,生鲜-蔬菜,85.45
321512797,100619,2018/1/7,690,10,零食-膨化食品,44.5
321512798,100777,2018/1/7,1587,21,家用-个人护理,100.35
321512799,100655,2018/1/7,1426,14,生鲜-蔬菜,85.3
321512800,100592,2018/1/7,1119,5,零食-坚果,60.95
321512801,100569,2018/1/7,905,10,家用-清洁用品,55.25
